GPST,Latitude,Longitude,Height
2024/02/14 04:24:44.00,27.682051713,85.31923718,1261.5924
2024/02/14 04:24:45.00,27.682045692,85.319250003,1262.6045
2024/02/14 04:24:46.00,27.68199729,85.319253509,1253.1967
2024/02/14 04:24:47.00,27.682019095,85.319210397,1262.0493
2024/02/14 04:24:48.00,27.68200443,85.319244075,1257.8214
2024/02/14 04:24:49.00,27.681995067,85.319243096,1253.5651
2024/02/14 04:24:50.00,27.681970494,85.319228487,1256.6754
2024/02/14 04:24:51.00,27.681984296,85.319209388,1257.5453
2024/02/14 04:24:52.00,27.681985153,85.319211385,1259.9823
2024/02/14 04:24:53.00,27.682022984,85.319219069,1257.35
2024/02/14 04:24:54.00,27.681985725,85.31920736,1259.5359
2024/02/14 04:24:55.00,27.682031981,85.319260731,1261.339
2024/02/14 04:24:56.00,27.682051369,85.319237128,1261.5871
2024/02/14 04:24:57.00,27.682054183,85.319237785,1261.4546
2024/02/14 04:24:58.00,27.682038589,85.319269989,1261.8394
2024/02/14 04:24:59.00,27.681970971,85.31923216,1254.9846
2024/02/14 04:25:00.00,27.682023497,85.319219921,1257.2873
2024/02/14 04:25:01.00,27.681974476,85.319234795,1255.7668
2024/02/14 04:25:02.00,27.68200889,85.319241065,1257.2867
2024/02/14 04:25:03.00,27.682041703,85.31924505,1263.2428
2024/02/14 04:25:04.00,27.682057476,85.319253404,1266.6216
2024/02/14 04:25:05.00,27.681973747,85.319210382,1253.0299
2024/02/14 04:25:06.00,27.682027745,85.319269692,1258.4689
2024/02/14 04:25:07.00,27.681986045,85.319204388,1257.7451
2024/02/14 04:25:08.00,27.681997708,85.319241539,1251.3246
2024/02/14 04:25:09.00,27.68201239,85.319231079,1257.7013
2024/02/14 04:25:10.00,27.682006576,85.319231063,1255.6071
2024/02/14 04:25:11.00,27.68200984,85.319230786,1257.3055
2024/02/14 04:25:12.00,27.68200904,85.319236879,1258.2684
2024/02/14 04:25:13.00,27.682022508,85.319218542,1265.7361
2024/02/14 04:25:14.00,27.682002284,85.319250612,1260.5305
2024/02/14 04:25:15.00,27.682044271,85.319239847,1264.541
2024/02/14 04:25:16.00,27.681995707,85.319210367,1264.3391
2024/02/14 04:25:17.00,27.681976934,85.319208792,1258.149
2024/02/14 04:25:18.00,27.681983526,85.319249444,1252.0598
2024/02/14 04:25:19.00,27.682023053,85.319224056,1266.085
2024/02/14 04:25:20.00,27.682032767,85.319258085,1257.8332
2024/02/14 04:25:21.00,27.682018601,85.319226333,1267.9838
2024/02/14 04:25:22.00,27.682001168,85.319239923,1259.0065
2024/02/14 04:25:23.00,27.682018105,85.31920428,1261.4266
2024/02/14 04:25:24.00,27.681999069,85.319231532,1259.4101
2024/02/14 04:25:25.00,27.681979846,85.319238841,1250.45
2024/02/14 04:25:26.00,27.681984921,85.319256138,1252.3963
2024/02/14 04:25:27.00,27.681999283,85.31922471,1255.3149
2024/02/14 04:25:28.00,27.68203936,85.31923504,1262.3095
2024/02/14 04:25:29.00,27.681988175,85.319232838,1251.3142
2024/02/14 04:25:30.00,27.682034123,85.319229455,1263.9051
2024/02/14 04:25:31.00,27.681996533,85.319222616,1258.7838
2024/02/14 04:25:32.00,27.682012503,85.319218368,1268.6805
2024/02/14 04:25:33.00,27.681995864,85.319210051,1255.1418
2024/02/14 04:25:34.00,27.681955602,85.319203636,1251.2295
2024/02/14 04:25:35.00,27.682034926,85.319232399,1262.2486
2024/02/14 04:25:36.00,27.682019948,85.319255455,1257.8724
2024/02/14 04:25:37.00,27.681976294,85.319196772,1258.3822
2024/02/14 04:25:38.00,27.682024751,85.319240623,1253.848
2024/02/14 04:25:39.00,27.681976613,85.319251719,1251.9491
2024/02/14 04:25:40.00,27.682038012,85.319234755,1262.7679
2024/02/14 04:25:41.00,27.681993437,85.319211633,1256.4197
2024/02/14 04:25:42.00,27.682028781,85.319227818,1262.7044
2024/02/14 04:25:43.00,27.681961571,85.319224494,1253.6477
2024/02/14 04:25:44.00,27.682016803,85.31925308,1254.9605
2024/02/14 04:25:45.00,27.68200715,85.319215699,1265.0163
2024/02/14 04:25:46.00,27.681995892,85.319233637,1260.0445
2024/02/14 04:25:47.00,27.681981769,85.319236552,1250.7684
2024/02/14 04:25:48.00,27.682034792,85.319224174,1260.7979
2024/02/14 04:25:49.00,27.682020215,85.319236575,1253.361
2024/02/14 04:25:50.00,27.681991038,85.31925333,1250.61
2024/02/14 04:25:51.00,27.682001522,85.319223664,1257.2803
2024/02/14 04:25:52.00,27.682029022,85.319227599,1261.9744
2024/02/14 04:25:53.00,27.681980856,85.3192315,1257.3411
2024/02/14 04:25:54.00,27.682011257,85.319196524,1261.286
2024/02/14 04:25:55.00,27.682011842,85.319246049,1252.5843
2024/02/14 04:25:56.00,27.682008645,85.31921062,1264.4562
2024/02/14 04:25:57.00,27.682021703,85.319246962,1252.9648
2024/02/14 04:25:58.00,27.682011209,85.319259255,1256.5049
2024/02/14 04:25:59.00,27.681977976,85.319216124,1259.1572
2024/02/14 04:26:00.00,27.681994681,85.319223158,1256.026
2024/02/14 04:26:01.00,27.682008862,85.319241041,1257.2814
2024/02/14 04:26:02.00,27.68203917,85.319231271,1258.3199
2024/02/14 04:26:03.00,27.681968829,85.319210835,1251.1002
2024/02/14 04:26:04.00,27.682037055,85.319233559,1259.531
2024/02/14 04:26:05.00,27.682021637,85.319256754,1254.326
2024/02/14 04:26:06.00,27.682021526,85.319252414,1254.8987
2024/02/14 04:26:07.00,27.682004876,85.319237554,1256.2845
2024/02/14 04:26:08.00,27.681972547,85.319205487,1250.198
2024/02/14 04:26:09.00,27.682005656,85.319225424,1264.5105
2024/02/14 04:26:10.00,27.682025653,85.319260885,1255.966
2024/02/14 04:26:11.00,27.682002481,85.319219947,1253.7666
2024/02/14 04:26:12.00,27.682014335,85.319220034,1262.6347
2024/02/14 04:26:13.00,27.682030633,85.319257591,1257.9388
2024/02/14 04:26:14.00,27.68199516,85.319240464,1258.2356
2024/02/14 04:26:15.00,27.681993133,85.319247818,1252.3682
2024/02/14 04:26:16.00,27.682043747,85.319248815,1264.2303
2024/02/14 04:26:17.00,27.682034397,85.319239893,1255.4737
2024/02/14 04:26:18.00,27.682009527,85.319244658,1258.608
2024/02/14 04:26:19.00,27.68200418,85.319222582,1255.7489
2024/02/14 04:26:20.00,27.682019658,85.319201315,1263.0035
2024/02/14 04:26:21.00,27.682022006,85.319223001,1265.4529
2024/02/14 04:26:22.00,27.682026097,85.319260399,1256.9289
2024/02/14 04:26:23.00,27.682041391,85.319231396,1258.7181
2024/02/14 04:26:24.00,27.681991953,85.319219072,1261.0728
2024/02/14 04:26:25.00,27.682024907,85.319269569,1259.2688
2024/02/14 04:26:26.00,27.682009543,85.319244653,1258.6103
2024/02/14 04:26:27.00,27.681982193,85.319223102,1261.6959
2024/02/14 04:26:28.00,27.682012648,85.31922699,1255.7167
2024/02/14 04:26:29.00,27.681992381,85.319262327,1254.6313
